"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area","With Bachelor Degree or Higher","After-Tax Household Income","   Unemployed","Recent Immigrants","High Shelter Costs"
"Oakridge",121.0,"N/A",13845.0,1.8,2950.0,32079.0,900.0,1760.0,2290.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,6.0,5170.0,57017.0,1055.0,485.0,2720.0
"Cliffcrest",123.0,"N/A",15935.0,7.1,3640.0,60384.0,795.0,600.0,1720.0
"Kennedy Park",124.0,"N/A",17123.0,3.6,3025.0,41776.0,775.0,1170.0,2330.0
"Ionview",125.0,"N/A",13641.0,2.0,2600.0,42971.0,610.0,1510.0,1725.0
"Dorset Park",126.0,"N/A",25003.0,6.0,4945.0,47630.0,1230.0,1960.0,3345.0
"Bendale",127.0,"N/A",29960.0,7.4,6295.0,51254.0,1255.0,1970.0,4115.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,7.9,5765.0,53886.0,1185.0,1735.0,3120.0
"Agincourt North",129.0,"N/A",29113.0,7.3,5805.0,55893.0,1360.0,2165.0,3155.0
"Milliken",130.0,"N/A",26572.0,9.4,4635.0,55464.0,1160.0,2190.0,3010.0
"Rouge",131.0,"N/A",46496.0,37.6,9195.0,72784.0,2010.0,1595.0,3910.0
"Malvern",132.0,"N/A",43794.0,8.9,7230.0,53425.0,2335.0,2745.0,4790.0
"Centennial Scarborough",133.0,"N/A",13362.0,5.4,4055.0,86816.0,545.0,210.0,765.0
"Highland Creek",134.0,"N/A",12494.0,5.1,3055.0,87321.0,565.0,325.0,900.0
"Morningside",135.0,"N/A",17455.0,5.6,3220.0,50069.0,995.0,1215.0,2090.0
"West Hill",136.0,"N/A",27392.0,9.6,4330.0,46803.0,1515.0,1455.0,3230.0
"Woburn",137.0,"N/A",53485.0,12.2,10860.0,47908.0,2665.0,4925.0,6605.0
"Eglinton East",138.0,"N/A",22776.0,3.2,3650.0,42790.0,1155.0,2315.0,2830.0
"Scarborough Village",139.0,"N/A",16724.0,3.1,2935.0,40181.0,980.0,1625.0,2460.0
"Guildwood",140.0,"N/A",9917.0,3.8,2715.0,67678.0,395.0,145.0,960.0
